Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,avg_cost_for_one,Cuisine Count,Cuisines_Mean_Rating,Cuisines_Mean_Rating_Avg,Price_TableBooking
6309903,Silantro Fil-Mex,162,Pasig City,44,Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"['Filipino', 'Mexican']",800,Botswana Pula(P),0,0,0,0,3,4.9,5,5,1070,2520.0,2,"[4.34, 3.7232044198895027]",4.031602209944751,0
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,44,Kapitolyo,"Kapitolyo, Pasig City",121.06082,14.570849,"['American', 'Ice Cream', 'Desserts']",900,Botswana Pula(P),1,0,0,0,3,4.2,4,4,488,2835.0,3,"[3.6637055837563453, 2.5831858407079644, 2.978866768759571]",3.075252731074627,3
6318433,Silantro Fil-Mex,162,Quezon City,68,"UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"['Filipino', 'Mexican']",800,Botswana Pula(P),0,0,0,0,3,4.8,5,5,294,2520.0,2,"[4.34, 3.7232044198895027]",4.031602209944751,0
6310470,Guevarra's,162,San Juan City,68,Addition Hills,"Addition Hills, San Juan City",121.0335917,14.59345,['Filipino'],1000,Botswana Pula(P),1,0,0,0,3,4.2,4,4,458,3150.0,1,[4.34],4.34,3
6314605,Sodam Korean Restaurant,162,San Juan City,53,Little Baguio,"Little Baguio, San Juan City",121.03811,14.59889,['Korean'],700,Botswana Pula(P),0,0,0,0,3,4.3,4,4,223,2205.0,1,[3.6523809523809527],3.6523809523809527,0
18185059,Cafe Arabelle,162,Santa Rosa,77,"Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.05704,14.237082,"['Cafe', 'American', 'Italian', 'Filipino']",800,Botswana Pula(P),0,0,0,0,3,3.6,3,3,29,2520.0,4,"[3.321194879089616, 3.6637055837563453, 3.562041884816754, 4.34]",3.7217355869156785,0
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,65,"Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.0565874,14.23767897,"['Italian', 'Pizza']",850,Botswana Pula(P),0,0,0,0,3,4.0,4,4,72,2677.5,2,"[3.562041884816754, 2.921784776902887]",3.2419133308598207,0
6318213,Balay Dako,162,Tagaytay City,32,Tagaytay City,"Tagaytay City, Tagaytay City",120.951589,14.101834,['Filipino'],1200,Botswana Pula(P),1,0,0,0,3,4.5,5,5,211,3780.0,1,[4.34],4.34,3
18255654,Hobing Korean Dessert Cafe,162,Taguig City,103,"BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,"['Cafe', 'Korean', 'Desserts']",600,Botswana Pula(P),0,0,0,0,2,4.5,5,5,118,1890.0,3,"[3.321194879089616, 3.6523809523809527, 2.978866768759571]",3.3174808667433804,0
6308205,Wildflour Cafe + Bakery,162,Taguig City,97,Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,"['Cafe', 'Bakery', 'American', 'Italian']",1500,Botswana Pula(P),1,0,0,0,4,4.4,4,4,392,4725.0,4,"[3.321194879089616, 2.4409395973154364, 3.6637055837563453, 3.562041884816754]",3.2469704862445377,4
6315438,NIU by Vikings,162,Taguig City,92,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,"['Seafood', 'American', 'Mediterranean', 'Japanese']",3000,Botswana Pula(P),1,0,0,0,4,4.7,5,5,535,9450.0,4,"[3.859322033898305, 3.6637055837563453, 3.9482142857142857, 3.7985611510791366]",3.817450763612018,4
6310406,The Food Hall by Todd English,162,Taguig City,87,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,"['American', 'Asian', 'Italian', 'Seafood']",1800,Botswana Pula(P),1,0,0,0,4,4.5,5,5,618,5670.0,4,"[3.6637055837563453, 3.815021459227468, 3.562041884816754, 3.859322033898305]",3.725022740424718,4
6600681,Chez Michou,30,Brasília,49,Asa Norte,"Asa Norte, Bras�_lia",-47.88178889,-15.76414167,"['Fast Food', 'French']",55,Brazilian Real(R$),0,0,0,0,2,3.0,2,2,6,613.8,2,"[2.5630916414904332, 3.8620689655172415]",3.212580303503837,0
6601005,Caf�� Daniel Briand,30,Brasília,48,Asa Norte,"Asa Norte, Bras�_lia",-47.88266667,-15.7775,['Cafe'],30,Brazilian Real(R$),0,0,0,0,1,3.8,3,3,9,334.8,1,[3.321194879089616],3.321194879089616,0
6600292,Casa do Biscoito Mineiro,30,Brasília,51,Asa Norte,"Asa Norte, Bras�_lia",-47.88213611,-15.75747222,['Bakery'],45,Brazilian Real(R$),0,0,0,0,2,3.7,3,3,11,502.2,1,[2.4409395973154364],2.4409395973154364,0
6600441,Maori,30,Brasília,47,Asa Norte,"Asa Norte, Bras�_lia",-47.88816667,-15.75883333,['Brazilian'],60,Brazilian Real(R$),0,0,0,0,3,3.8,3,3,11,669.6,1,[3.567857142857143],3.567857142857143,0
6600970,Pizza �� Bessa,30,Brasília,45,Asa Sul,"Asa Sul, Bras�_lia",-47.91566667,-15.83116667,['Pizza'],50,Brazilian Real(R$),0,0,0,0,2,3.2,2,2,11,558.0,1,[2.921784776902887],2.921784776902887,0
6600379,Sushi Loko,30,Brasília,45,Asa Sul,"Asa Sul, Bras�_lia",-47.91566667,-15.831,['Japanese'],80,Brazilian Real(R$),0,0,0,0,3,3.1,2,2,10,892.8,1,[3.7985611510791366],3.7985611510791366,0
6600214,Beirute,30,Brasília,46,Asa Sul,"Asa Sul, Bras�_lia",-47.9075,-15.82,['Arabian'],90,Brazilian Real(R$),0,0,0,0,3,3.7,3,3,8,1004.4,1,[3.3857142857142857],3.3857142857142857,0
6601218,New Koto,30,Brasília,45,Asa Sul,"Asa Sul, Bras�_lia",-47.91016667,-15.82733333,['Japanese'],200,Brazilian Real(R$),0,0,0,0,4,3.7,3,3,5,2232.0,1,[3.7985611510791366],3.7985611510791366,0
6600060,Sandubas Caf��,30,Brasília,67,Asa Sul,"Asa Sul, Bras�_lia",-47.89016667,-15.797,"['Brazilian', 'Cafe']",30,Brazilian Real(R$),0,0,0,0,1,3.6789473684210527,0,0,2,334.8,2,"[3.567857142857143, 3.321194879089616]",3.4445260109733793,0
6600083,Villa Tevere,30,Brasília,44,Asa Sul,"Asa Sul, Bras�_lia",-47.92366667,-15.83133333,['Italian'],150,Brazilian Real(R$),0,0,0,0,4,4.1,4,4,12,1674.0,1,[3.562041884816754],3.562041884816754,0
6601515,Rovereto,30,Brasília,45,�guas Claras,"�guas Claras, Bras�_lia",-48.019,-15.83716667,['Pizza'],100,Brazilian Real(R$),0,0,0,0,4,3.1,2,2,9,1116.0,1,[2.921784776902887],2.921784776902887,0
6601361,Buena Carne,30,Brasília,59,�guas Claras,"�guas Claras, Bras�_lia",-48.01909167,-15.839775,"['Bar Food', 'Brazilian']",60,Brazilian Real(R$),0,0,0,0,3,3.6,3,3,9,669.6,2,"[3.9333333333333336, 3.567857142857143]",3.7505952380952383,0
6601602,Taco Pep,30,Brasília,72,�guas Claras,"�guas Claras, Bras�_lia",-48.01666667,-15.83483333,"['Mexican', 'Grill']",100,Brazilian Real(R$),0,0,0,0,4,4.3,4,4,29,1116.0,2,"[3.7232044198895027, 4.057142857142857]",3.89017363851618,0
6601589,Coco Bambu,30,Brasília,65,"Bras�_lia Shopping, Asa Norte","Bras�_lia Shopping, Asa Norte, Bras�_lia",-47.889,-15.7865,['International'],230,Brazilian Real(R$),0,0,0,0,4,4.2,4,4,17,2566.8,1,[4.247619047619048],4.247619047619048,0
6601862,Tayp��,30,Brasília,64,Lago Sul,"Lago Sul, Bras�_lia",-47.872359,-15.860621,"['Peruvian', 'Latin American']",100,Brazilian Real(R$),0,0,0,0,4,3.6,3,3,5,1116.0,2,"[3.6, 4.0636363636363635]",3.831818181818182,0
6601595,Outback Steakhouse,30,Brasília,61,"ParkShopping, Guar�� I","ParkShopping, Guar�� I, Bras�_lia",-47.95628333,-15.83451389,"['American', 'Grill']",150,Brazilian Real(R$),0,0,0,0,4,4.0,4,4,10,1674.0,2,"[3.6637055837563453, 4.057142857142857]",3.860424220449601,0
6601158,Manzu��,30,Brasília,54,"Pont��o Lago Sul, Lago Sul","Pont��o Lago Sul, Lago Sul, Bras�_lia",-47.87283333,-15.82566667,['Seafood'],240,Brazilian Real(R$),0,0,0,0,4,3.2,2,2,6,2678.4,1,[3.859322033898305],3.859322033898305,0
6600427,Coco Bambu,30,Brasília,73,Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Bras�_lia",-47.8685,-15.819,['International'],230,Brazilian Real(R$),0,0,0,0,4,4.9,5,5,30,2566.8,1,[4.247619047619048],4.247619047619048,0
6600116,Gero,30,Brasília,68,"Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Bras�_lia",-47.885812,-15.720118,['Italian'],350,Brazilian Real(R$),0,0,0,0,4,3.3,2,2,8,3906.0,1,[3.562041884816754],3.562041884816754,0
6601457,Brazilian American Burgers,30,Brasília,47,Sudoeste,"Sudoeste, Bras�_lia",-47.92102778,-15.79753056,"['American', 'Burger']",50,Brazilian Real(R$),0,0,0,0,2,3.6,3,3,9,558.0,2,"[3.6637055837563453, 3.522222222222222]",3.5929639029892835,0
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,88,Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,"['Seafood', 'Bar Food', 'Brazilian']",140,Brazilian Real(R$),0,0,0,0,4,4.0,4,4,7,1562.4,3,"[3.859322033898305, 3.9333333333333336, 3.567857142857143]",3.786837503362927,0
7304307,Confeitaria Colombo,30,Rio de Janeiro,47,Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"['Desserts', 'Cafe']",100,Brazilian Real(R$),0,0,0,0,4,4.8,5,5,29,1116.0,2,"[2.978866768759571, 3.321194879089616]",3.1500308239245935,0
7301215,Bibi,30,Rio de Janeiro,45,Copacabana,"Copacabana, Rio de Janeiro",-43.18669167,-22.97207222,"['Juices', 'Healthy Food']",60,Brazilian Real(R$),0,0,0,0,3,4.7,5,5,24,669.6,2,"[2.993103448275862, 3.0813333333333333]",3.0372183908045978,0
7300596,Cervantes,30,Rio de Janeiro,55,Copacabana,"Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,"['Beverages', 'Bar Food', 'Fast Food']",90,Brazilian Real(R$),0,0,0,0,3,4.5,5,5,29,1004.4,3,"[2.7401746724890828, 3.9333333333333336, 2.5630916414904332]",3.0788665491042835,0
7300612,Amir,30,Rio de Janeiro,54,Copacabana,"Copacabana, Rio de Janeiro",-43.176,-22.96516667,['Lebanese'],170,Brazilian Real(R$),0,0,0,0,4,4.2,4,4,11,1897.2,1,[3.4333333333333336],3.4333333333333336,0
7300704,TT Burger,30,Rio de Janeiro,69,"Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,['Burger'],60,Brazilian Real(R$),0,0,0,0,3,4.8,5,5,19,669.6,1,[3.522222222222222],3.522222222222222,0
7300955,Braseiro da G��vea,30,Rio de Janeiro,49,G��vea,"G��vea, Rio de Janeiro",-43.227042,-22.973507,"['Brazilian', 'Bar Food']",100,Brazilian Real(R$),0,0,0,0,4,4.9,5,5,40,1116.0,2,"[3.567857142857143, 3.9333333333333336]",3.7505952380952383,0
7300521,Balada Mix,30,Rio de Janeiro,53,Ipanema,"Ipanema, Rio de Janeiro",-43.211425,-22.98520833,"['Brazilian', 'Healthy Food', 'Juices', 'Pizza']",90,Brazilian Real(R$),0,0,0,0,3,4.6,5,5,21,1004.4,4,"[3.567857142857143, 3.0813333333333333, 2.993103448275862, 2.921784776902887]",3.1410196753423065,0
7300515,Garota de Ipanema,30,Rio de Janeiro,51,Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.98533333,"['Brazilian', 'Bar Food']",120,Brazilian Real(R$),0,0,0,0,4,4.9,5,5,49,1339.2,2,"[3.567857142857143, 3.9333333333333336]",3.7505952380952383,0
7300483,Zaz�� Bistr�� Tropical,30,Rio de Janeiro,48,Ipanema,"Ipanema, Rio de Janeiro",-43.20520833,-22.98531944,['Brazilian'],170,Brazilian Real(R$),0,0,0,0,4,4.6,5,5,21,1897.2,1,[3.567857142857143],3.567857142857143,0
7301064,Fil�� de Ouro,30,Rio de Janeiro,66,Lagoa,"Lagoa, Rio de Janeiro",-43.219563,-22.966647,['Brazilian'],90,Brazilian Real(R$),0,0,0,0,3,4.3,4,4,14,1004.4,1,[3.567857142857143],3.567857142857143,0
7304312,D.O.C Ristorante,30,Rio de Janeiro,90,"Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.34879167,-22.99991111,['Italian'],150,Brazilian Real(R$),0,0,0,0,4,4.0,4,4,5,1674.0,1,[3.562041884816754],3.562041884816754,0
7300004,Sushi Leblon,30,Rio de Janeiro,46,Leblon,"Leblon, Rio de Janeiro",-43.227,-22.98416667,['Japanese'],250,Brazilian Real(R$),0,0,0,0,4,4.6,5,5,25,2790.0,1,[3.7985611510791366],3.7985611510791366,0
7300868,Talho Capixaba,30,Rio de Janeiro,67,Leblon,"Leblon, Rio de Janeiro",-43.22566667,-22.98516667,"['Bakery', 'Sandwich', 'Brazilian']",120,Brazilian Real(R$),0,0,0,0,4,4.4,4,4,13,1339.2,3,"[2.4409395973154364, 4.066037735849057, 3.567857142857143]",3.3582781586738784,0
7302637,Leme Light,30,Rio de Janeiro,46,Leme,"Leme, Rio de Janeiro",-43.17279167,-22.963925,['Brazilian'],40,Brazilian Real(R$),0,0,0,0,2,4.2,4,4,7,446.4,1,[3.567857142857143],3.567857142857143,0
7302140,Shirley,30,Rio de Janeiro,46,Leme,"Leme, Rio de Janeiro",-43.17126389,-22.96337222,"['Brazilian', 'Seafood']",250,Brazilian Real(R$),0,0,0,0,4,4.2,4,4,8,2790.0,2,"[3.567857142857143, 3.859322033898305]",3.713589588377724,0
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,97,Madureira,"Madureira, Rio de Janeiro",-43.341164,-22.870413,"['Bar Food', 'Brazilian']",70,Brazilian Real(R$),0,0,0,0,3,4.489473684210526,0,0,1,781.2,2,"[3.9333333333333336, 3.567857142857143]",3.7505952380952383,0
7302898,Apraz�_vel,30,Rio de Janeiro,48,Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.18736944,-22.92481389,['Brazilian'],300,Brazilian Real(R$),0,0,0,0,4,4.7,5,5,44,3348.0,1,[3.567857142857143],3.567857142857143,0
7302859,Aconchego Carioca,30,Rio de Janeiro,51,Tijuca,"Tijuca, Rio de Janeiro",-43.21551111,-22.91370833,"['Brazilian', 'Bar Food']",85,Brazilian Real(R$),0,0,0,0,3,4.6,5,5,24,948.6,2,"[3.567857142857143, 3.9333333333333336]",3.7505952380952383,0
7301700,Garota de Ipanema,30,Rio de Janeiro,45,Urca,"Urca, Rio de Janeiro",-43.16266667,-22.94783333,"['Brazilian', 'Bar Food']",80,Brazilian Real(R$),0,0,0,0,3,4.3,4,4,10,892.8,2,"[3.567857142857143, 3.9333333333333336]",3.7505952380952383,0
6706313,Cantina Famiglia Mancini,30,São Paulo,49,"Bela Vista, Centro","Bela Vista, Centro, S��o Paulo",-46.64516667,-23.55066667,"['Italian', 'Pizza']",250,Brazilian Real(R$),0,0,0,0,4,4.5,5,5,49,2790.0,2,"[3.562041884816754, 2.921784776902887]",3.2419133308598207,0
6704326,Templo da Carne - Marcos Bassi,30,São Paulo,55,"Bela Vista, Centro","Bela Vista, Centro, S��o Paulo",-46.64633333,-23.559,"['Steak', 'BBQ']",250,Brazilian Real(R$),0,0,0,0,4,4.4,4,4,17,2790.0,2,"[3.9575757575757575, 3.9030303030303033]",3.9303030303030306,0
6711179,Gopala Hari,30,São Paulo,49,Consola�_��o,"Consola�_��o, S��o Paulo",-46.65866667,-23.55616667,['Indian'],70,Brazilian Real(R$),0,0,0,0,3,3.1,2,2,5,781.2,1,[3.9185714285714286],3.9185714285714286,0
6702797,Jiquitaia,30,São Paulo,50,Consola�_��o,"Consola�_��o, S��o Paulo",-46.657523,-23.55671,['Brazilian'],100,Brazilian Real(R$),0,0,0,0,4,4.1,4,4,15,1116.0,1,[3.567857142857143],3.567857142857143,0
6700475,Skye - Hotel Unique,30,São Paulo,82,"Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, S��o Paulo",-46.666851,-23.581688,"['Beverages', 'International']",300,Brazilian Real(R$),0,0,0,0,4,4.8,5,5,59,3348.0,2,"[2.7401746724890828, 4.247619047619048]",3.493896860054065,0
6713413,Les 3 Brasseurs,30,São Paulo,48,Itaim Bibi,"Itaim Bibi, S��o Paulo",-46.67511,-23.582135,"['French', 'Brazilian', 'Beverages']",120,Brazilian Real(R$),0,0,0,0,4,4.6,5,5,30,1339.2,3,"[3.8620689655172415, 3.567857142857143, 2.7401746724890828]",3.390033593621156,0
6714340,Red Steak & Burger,30,São Paulo,42,Itaim Bibi,"Itaim Bibi, S��o Paulo",-46.683888,-23.585324,"['Brazilian', 'Grill']",75,Brazilian Real(R$),0,0,0,0,3,3.9,3,3,5,837.0,2,"[3.567857142857143, 4.057142857142857]",3.8125,0
6710645,Cantinho da Gula,30,São Paulo,54,Itaim Bibi,"Itaim Bibi, S��o Paulo",-46.67566667,-23.581,['Brazilian'],55,Brazilian Real(R$),0,0,0,0,2,4.152941176470588,0,0,0,613.8,1,[3.567857142857143],3.567857142857143,0
6700402,Paris 6 Classique,30,São Paulo,69,Jardim Paulista,"Jardim Paulista, S��o Paulo",-46.666041,-23.561568,['French'],200,Brazilian Real(R$),0,0,0,0,4,3.4,2,2,73,2232.0,1,[3.8620689655172415],3.8620689655172415,0
6700846,Kawa Sushi,30,São Paulo,48,Jardim Paulista,"Jardim Paulista, S��o Paulo",-46.657418,-23.571638,"['Sushi', 'Japanese']",120,Brazilian Real(R$),0,0,0,0,4,3.5,3,3,9,1339.2,2,"[3.9576923076923074, 3.7985611510791366]",3.878126729385722,0
6702159,A Figueira Rubaiyat,30,São Paulo,75,Jardim Paulista,"Jardim Paulista, S��o Paulo",-46.66983333,-23.5655,"['BBQ', 'Grill', 'Brazilian']",300,Brazilian Real(R$),0,0,0,0,4,4.3,4,4,39,3348.0,3,"[3.9030303030303033, 4.057142857142857, 3.567857142857143]",3.8426767676767675,0
6711666,Kinoshita,30,São Paulo,65,Moema,"Moema, S��o Paulo",-46.67133333,-23.59233333,['Sushi'],230,Brazilian Real(R$),0,0,0,0,4,3.9,3,3,12,2566.8,1,[3.9576923076923074],3.9576923076923074,0
6701257,Meats,30,São Paulo,45,Pinheiros,"Pinheiros, S��o Paulo",-46.68133333,-23.56483333,"['Gourmet Fast Food', 'Burger']",120,Brazilian Real(R$),0,0,0,0,4,4.3,4,4,68,1339.2,2,"[4.3, 3.522222222222222]",3.911111111111111,0
6706211,Paribar,30,São Paulo,57,Rep�_blica,"Rep�_blica, S��o Paulo",-46.64159444,-23.54664167,"['Brazilian', 'Italian']",150,Brazilian Real(R$),0,0,0,0,4,4.3,4,4,46,1674.0,2,"[3.567857142857143, 3.562041884816754]",3.5649495138369485,0
6705858,Terra�_o It��lia,30,São Paulo,77,Rep�_blica,"Rep�_blica, S��o Paulo",-46.643425,-23.545163,['Italian'],400,Brazilian Real(R$),0,0,0,0,4,4.4,4,4,37,4464.0,1,[3.562041884816754],3.562041884816754,0
6701419,Divino Fog��o,30,São Paulo,92,"Shopping Metr�� Santa Cruz, Vila Mariana","Shopping Metr�� Santa Cruz, Vila Mariana, S��o Paulo",-46.63716667,-23.5995,"['Brazilian', 'Mineira']",65,Brazilian Real(R$),0,0,0,0,3,4.152941176470588,0,0,2,725.4,2,"[3.567857142857143, 0.0]",1.7839285714285715,0
6703956,Super Grill,30,São Paulo,91,"Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, S��o Paulo",-46.698574,-23.622925,['Brazilian'],50,Brazilian Real(R$),0,0,0,0,2,4.152941176470588,0,0,2,558.0,1,[3.567857142857143],3.567857142857143,0
6709580,Esquina Mocot�_,30,São Paulo,76,Vila Maria,"Vila Maria, S��o Paulo",-46.581672,-23.486535,"['Brazilian', 'North Eastern']",100,Brazilian Real(R$),0,0,0,0,4,4.4,4,4,22,1116.0,2,"[3.567857142857143, 2.088888888888889]",2.828373015873016,0
6703176,Veloso,30,São Paulo,52,Vila Mariana,"Vila Mariana, S��o Paulo",-46.63566667,-23.58516667,"['Brazilian', 'Bar Food', 'Beverages']",70,Brazilian Real(R$),0,0,0,0,3,4.6,5,5,58,781.2,3,"[3.567857142857143, 3.9333333333333336, 2.7401746724890828]",3.4137883828931863,0
6713772,Sainte Marie Gastronomia,30,São Paulo,59,Vila S��nia,"Vila S��nia, S��o Paulo",-46.746958,-23.609207,"['Lebanese', 'Arabian']",120,Brazilian Real(R$),0,0,0,0,4,4.1,4,4,11,1339.2,2,"[3.4333333333333336, 3.3857142857142857]",3.40952380952381,0
17284404,Austin's BBQ and Oyster Bar,216,Albany,34,Albany,"Albany, Albany",-84.221535,31.610387,"['BBQ', 'Burger', 'Seafood']",25,Dollar($),0,0,0,0,2,3.3,2,2,35,1047.25,3,"[3.9030303030303033, 3.522222222222222, 3.859322033898305]",3.7615248530502767,0
17284203,BJ's Country Buffet,216,Albany,32,Albany,"Albany, Albany",-84.207095,31.608743,"['American', 'BBQ']",10,Dollar($),0,0,0,0,1,3.3,2,2,25,418.9,2,"[3.6637055837563453, 3.9030303030303033]",3.7833679433933245,0
17284105,Cookie Shoppe,216,Albany,34,Albany,"Albany, Albany",-84.154,31.5772,"['Japanese', 'Steak', 'Sushi']",0,Dollar($),0,0,0,0,1,3.4,2,2,34,0.0,3,"[3.7985611510791366, 3.9575757575757575, 3.9576923076923074]",3.904609738782401,0
17284302,El Vaquero Mexican Restaurant,216,Albany,32,Albany,"Albany, Albany",-84.2194,31.6158,['Mexican'],0,Dollar($),0,0,0,0,1,3.4,2,2,45,0.0,1,[3.7232044198895027],3.7232044198895027,0
17284397,Elements Coffee Co - Northwest,216,Albany,37,Albany,"Albany, Albany",-84.206944,31.622412,"['Coffee and Tea', 'Sandwich']",10,Dollar($),0,0,0,0,1,3.4,2,2,26,418.9,2,"[3.7947368421052627, 4.066037735849057]",3.93038728897716,0
17284211,Pearly's Famous Country Cookng,216,Albany,36,Albany,"Albany, Albany",-84.1759,31.5882,"['Japanese', 'Steak', 'Sushi']",0,Dollar($),0,0,0,0,1,3.4,2,2,36,0.0,3,"[3.7985611510791366, 3.9575757575757575, 3.9576923076923074]",3.904609738782401,0
17284094,Chick-fil-A,216,Albany,32,Albany,"Albany, Albany",-84.2193,31.616,['Fast Food'],10,Dollar($),0,0,0,0,1,3.5,3,3,67,418.9,1,[2.5630916414904332],2.5630916414904332,0
17284409,Guang Zhou Chinese Restaurant,216,Albany,38,Albany,"Albany, Albany",-84.2091458,31.6155186,"['Asian', 'Chinese', 'Vegetarian']",10,Dollar($),0,0,0,0,1,3.9,3,3,141,418.9,3,"[3.815021459227468, 2.621023765996344, 4.0875]",3.5078484084079373,0
17284139,Harvest Moon,216,Albany,34,Albany,"Albany, Albany",-84.205718,31.604905,"['Pizza', 'Bar Food', 'Sandwich']",25,Dollar($),0,0,0,0,2,3.7,3,3,147,1047.25,3,"[2.921784776902887, 3.9333333333333336, 4.066037735849057]",3.6403852820284257,0
